TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-360.0,-1.5,False,9.367030348959432,0.0642,6.419999999999999,9.598033333333333,0.07964166666666667,7.964166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-336.0,-1.4,False,9.414226419165212,0.0642,6.419999999999999,9.664883333333334,0.07103333333333334,7.1033333333333335
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-312.0,-1.3,False,9.447130059100152,0.0642,6.419999999999999,9.697524999999999,0.06685416666666666,6.685416666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-288.0,-1.2,False,9.469225248587957,0.0642,6.419999999999999,9.711779166666666,0.06429166666666666,6.429166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-264.0,-1.1,False,9.483525938486723,0.0642,6.419999999999999,9.701479166666667,0.06229583333333333,6.229583333333332
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-240.0,-1.0,False,9.492451973434875,0.0642,6.419999999999999,9.678258333333332,0.060220833333333335,6.022083333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-216.0,-0.9,False,9.49782722250904,0.0642,6.419999999999999,9.651975,0.05992499999999999,5.992499999999999
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-192.0,-0.8,False,9.500951439381552,0.0642,6.419999999999999,9.618895833333333,0.06112916666666667,6.112916666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-168.0,-0.7,False,9.502704613790195,0.0642,6.419999999999999,9.5817375,0.060920833333333334,6.092083333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-144.0,-0.6,False,9.503654712759817,0.0642,6.419999999999999,9.5519,0.06190416666666666,6.190416666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-120.0,-0.5,True,9.504152076554538,0.0642,6.419999999999999,9.51755,0.062412499999999996,6.24125
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-96.0,-0.4,True,9.504403629424601,0.0642,6.419999999999999,9.4800375,0.06288333333333333,6.288333333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-72.0,-0.3,True,9.504526574478671,0.0642,6.419999999999999,9.449545833333334,0.06375833333333333,6.3758333333333335
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-48.0,-0.2,True,9.504584649176682,0.0642,6.419999999999999,9.428104166666666,0.06434166666666667,6.434166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-24.0,-0.1,True,9.504611165691289,0.0642,6.419999999999999,9.4122375,0.06511666666666667,6.511666666666667
