TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.0020319174311397774,0.20319174311397772,0.002641776797373446,0.03255033111978235,0.020586909390818788,9.504631250000001,0.06420000000000001,9.49502840909091,0.062423863636363645
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.008004625381946335,0.8004625381946335,0.002641776797373446,0.12823021382616595,0.07799483901464895,9.504631250000001,0.07036741444444443,9.49502840909091,0.062423863636363645
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.014145436310793423,1.4145436310793422,0.002641776797373446,0.22660302465727725,0.13701852551331573,9.504631250000001,0.07653482888888886,9.49502840909091,0.062423863636363645
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.020302381909500445,2.0302381909500444,0.002641776797373446,0.32523430506909123,0.19619729376040412,9.504631250000001,0.08270224333333333,9.49502840909091,0.062423863636363645
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.026464203291140142,2.6464203291140143,0.002641776797373446,0.4239436931571791,0.25542292661325683,9.504631250000001,0.08886965777777778,9.49502840909091,0.062423863636363645
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.032628138198945056,3.2628138198945056,0.002641776797373446,0.5226869389087005,0.31466887406416966,9.504631250000001,0.09503707222222223,9.49502840909091,0.062423863636363645
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.038793179177314244,3.8793179177314245,0.002641776797373446,0.621447903373865,0.3739254527432684,9.504631250000001,0.10120448666666665,9.49502840909091,0.062423863636363645
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022,"TurbOPark, A=0.04",0.025083745741538314,0.0449588712146562,4.49588712146562,0.0026417767973734717,0.7202192974878024,0.4331882892116309,9.50463125,0.10737190111111113,9.49502840909091,0.062423863636363645
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022,"TurbOPark, A=0.04",0.025083745741538314,0.05112497875762843,5.112497875762843,0.0026417767973734717,0.8189973478002841,0.49245511939911985,9.50463125,0.11353931555555553,9.49502840909091,0.062423863636363645
12.0%,0.11970673,11.970673,Nygaard2022,"TurbOPark, A=0.04",0.025083745741538314,0.057291367647307564,5.7291367647307565,0.0026417767973734717,0.9177799051504678,0.5517246538092301,9.50463125,0.11970673000000001,9.49502840909091,0.062423863636363645
