TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-360.0,-1.5,False,9.50463125,0.0642,6.419999999999999,9.5561375,0.06622499999999999,6.6225
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-336.0,-1.4,False,9.50463125,0.0642,6.419999999999999,9.544583333333334,0.06564166666666667,6.564166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-312.0,-1.3,False,9.50463125,0.0642,6.419999999999999,9.537,0.06584166666666666,6.584166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-288.0,-1.2,False,9.50463125,0.0642,6.419999999999999,9.536170833333333,0.066025,6.6025
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-264.0,-1.1,False,9.50463125,0.0642,6.419999999999999,9.536595833333333,0.0656625,6.56625
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-240.0,-1.0,False,9.50463125,0.0642,6.419999999999999,9.535829166666666,0.06449583333333334,6.449583333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-216.0,-0.9,False,9.50463125,0.0642,6.419999999999999,9.533254166666666,0.0630875,6.308750000000001
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-192.0,-0.8,False,9.50463125,0.0642,6.419999999999999,9.527916666666666,0.0619625,6.19625
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-168.0,-0.7,False,9.50463125,0.0642,6.419999999999999,9.5134,0.06199166666666667,6.199166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-144.0,-0.6,False,9.50463125,0.0642,6.419999999999999,9.500870833333334,0.061575,6.1575
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-120.0,-0.5,True,9.50463125,0.0642,6.419999999999999,9.4931625,0.061516666666666664,6.151666666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-96.0,-0.4,True,9.50463125,0.0642,6.419999999999999,9.484958333333333,0.060795833333333334,6.079583333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-72.0,-0.3,True,9.50463125,0.0642,6.419999999999999,9.477504166666666,0.0607125,6.07125
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-48.0,-0.2,True,9.50463125,0.0642,6.419999999999999,9.466725,0.061924999999999994,6.192499999999999
