TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA,0.025083745741823576,0.0020319174311397774,0.20319174311397772,0.002641776797403515,0.03255033111978235,0.020586909390830816,9.504631249999791,0.06420000000000001,9.49502840909091,0.062423863636363645
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.025083745741550915,0.0020319174311397774,0.20319174311397772,0.0026417767973747988,0.03255033111978235,0.02058690939081933,9.50463124999999,0.06420000000000001,9.49502840909091,0.062423863636363645
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.0020319174311397774,0.20319174311397772,0.002641776797373446,0.03255033111978235,0.020586909390818788,9.504631250000001,0.06420000000000001,9.49502840909091,0.062423863636363645
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.025083745741581336,0.0020319174311397774,0.20319174311397772,0.002641776797378003,0.03255033111978235,0.02058690939082061,9.504631249999967,0.06420000000000001,9.49502840909091,0.062423863636363645
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA,0.025083745741823576,0.008004625381946335,0.8004625381946335,0.002641776797403515,0.12823021382616595,0.07799483901466098,9.504631249999791,0.07036741444444443,9.49502840909091,0.062423863636363645
7.0%,0.07036741444444444,7.036741444444444,NPA2016,NPA,0.02508374574161889,0.008004625381946335,0.8004625381946335,0.0026417767973819575,0.12823021382616595,0.07799483901465236,9.504631249999942,0.07036741444444443,9.49502840909091,0.062423863636363645
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.008004625381946335,0.8004625381946335,0.002641776797373446,0.12823021382616595,0.07799483901464895,9.504631250000001,0.07036741444444443,9.49502840909091,0.062423863636363645
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.0250837457415845,0.008004625381946335,0.8004625381946335,0.002641776797378336,0.12823021382616595,0.0779948390146509,9.504631249999965,0.07036741444444443,9.49502840909091,0.062423863636363645
7.7%,0.07653482888888888,7.653482888888888,BPA2014,BPA,0.025083745741823576,0.014145436310793423,1.4145436310793422,0.002641776797403515,0.22660302465727725,0.13701852551332774,9.504631249999791,0.07653482888888886,9.49502840909091,0.062423863636363645
7.7%,0.07653482888888888,7.653482888888888,NPA2016,NPA,0.02508374574196372,0.014145436310793423,1.4145436310793422,0.002641776797418275,0.22660302465727725,0.13701852551333366,9.504631249999688,0.07653482888888886,9.49502840909091,0.062423863636363645
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.014145436310793423,1.4145436310793422,0.002641776797373446,0.22660302465727725,0.13701852551331573,9.504631250000001,0.07653482888888886,9.49502840909091,0.062423863636363645
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.025083745741588313,0.014145436310793423,1.4145436310793422,0.0026417767973787375,0.22660302465727725,0.13701852551331783,9.504631249999962,0.07653482888888886,9.49502840909091,0.062423863636363645
8.3%,0.08270224333333333,8.270224333333333,BPA2014,BPA,0.025083745741823576,0.020302381909500445,2.0302381909500444,0.002641776797403515,0.32523430506909123,0.19619729376041614,9.504631249999791,0.08270224333333333,9.49502840909091,0.062423863636363645
8.3%,0.08270224333333333,8.270224333333333,NPA2016,NPA,0.025083745743481746,0.020302381909500445,2.0302381909500444,0.0026417767975781504,0.32523430506909123,0.196197293760486,9.504631249998562,0.08270224333333333,9.49502840909091,0.062423863636363645
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.020302381909500445,2.0302381909500444,0.002641776797373446,0.32523430506909123,0.19619729376040412,9.504631250000001,0.08270224333333333,9.49502840909091,0.062423863636363645
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.025083745741592493,0.020302381909500445,2.0302381909500444,0.0026417767973791776,0.32523430506909123,0.1961972937604064,9.50463124999996,0.08270224333333333,9.49502840909091,0.062423863636363645
8.9%,0.08886965777777778,8.886965777777778,BPA2014,BPA,0.025083745741823576,0.026464203291140142,2.6464203291140143,0.002641776797403515,0.4239436931571791,0.2554229266132689,9.504631249999791,0.08886965777777778,9.49502840909091,0.062423863636363645
8.9%,0.08886965777777778,8.886965777777778,NPA2016,NPA,0.025083745749338762,0.026464203291140142,2.6464203291140143,0.0026417767981950016,0.4239436931571791,0.25542292661358545,9.504631249994171,0.08886965777777778,9.49502840909091,0.062423863636363645
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022,"TurbOPark, A=0.04",0.02508374574153807,0.026464203291140142,2.6464203291140143,0.002641776797373446,0.4239436931571791,0.25542292661325683,9.504631250000001,0.08886965777777778,9.49502840909091,0.062423863636363645
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.0250837457415975,0.026464203291140142,2.6464203291140143,0.002641776797379705,0.4239436931571791,0.2554229266132593,9.504631249999955,0.08886965777777778,9.49502840909091,0.062423863636363645
