TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.0018719394212873665,0.18719394212873666,0.03886599467083938,0.029458976562380165,0.03322178380576385,9.504631250000001,0.06420000000000001,9.888323106060607,0.0635439393939394
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.007045108476312478,0.7045108476312478,0.03886599467083938,0.11086987277632358,0.0820683215341299,9.504631250000001,0.07036741444444443,9.888323106060607,0.0635439393939394
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.013108659410791552,1.3108659410791552,0.03886599467083938,0.2062928350967458,0.13932209892638323,9.504631250000001,0.07653482888888886,9.888323106060607,0.0635439393939394
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.019238356258067947,1.9238356258067948,0.03886599467083938,0.3027567450422004,0.19720044489365599,9.504631250000001,0.08270224333333333,9.888323106060607,0.0635439393939394
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.025386330048583913,2.5386330048583914,0.03886599467083938,0.3995082818394664,0.25525136697201556,9.504631250000001,0.08886965777777778,9.888323106060607,0.0635439393939394
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.031541895266740234,3.1541895266740236,0.03886599467083938,0.49637928601179215,0.313373969475411,9.504631250000001,0.09503707222222223,9.888323106060607,0.0635439393939394
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.03770133369735705,3.770133369735705,0.03886599467083938,0.5933112434787584,0.3715331439555908,9.504631250000001,0.10120448666666665,9.888323106060607,0.0635439393939394
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022,"TurbOPark, A=0.04",0.3843195131436896,0.043863013689896126,4.386301368989613,0.0388659946708394,0.6902784767240859,0.42971348390278735,9.50463125,0.10737190111111113,9.888323106060607,0.0635439393939394
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022,"TurbOPark, A=0.04",0.3843195131436896,0.050026106976454224,5.002610697645422,0.0388659946708394,0.7872679511781345,0.4879071685752165,9.50463125,0.11353931555555553,9.888323106060607,0.0635439393939394
12.0%,0.11970673,11.970673,Nygaard2022,"TurbOPark, A=0.04",0.3843195131436896,0.05619014851678499,5.619014851678499,0.0388659946708394,0.8842723484364933,0.5461098069302317,9.50463125,0.11970673000000001,9.888323106060607,0.0635439393939394
