TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-360.0,-1.5,False,9.50463125,0.0642,6.419999999999999,10.019204166666666,0.06457916666666666,6.457916666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-336.0,-1.4,False,9.50463125,0.0642,6.419999999999999,10.012329166666666,0.06422083333333334,6.422083333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-312.0,-1.3,False,9.50463125,0.0642,6.419999999999999,10.018075,0.0638875,6.38875
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-288.0,-1.2,False,9.50463125,0.0642,6.419999999999999,10.014545833333333,0.06492916666666665,6.492916666666665
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-264.0,-1.1,False,9.50463125,0.0642,6.419999999999999,10.015708333333333,0.06524583333333334,6.524583333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-240.0,-1.0,False,9.50463125,0.0642,6.419999999999999,10.022945833333333,0.06403333333333333,6.403333333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-216.0,-0.9,False,9.50463125,0.0642,6.419999999999999,10.0211875,0.06174583333333333,6.1745833333333335
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-192.0,-0.8,False,9.50463125,0.0642,6.419999999999999,10.009641666666667,0.06029999999999999,6.029999999999999
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-168.0,-0.7,False,9.50463125,0.0642,6.419999999999999,9.978229166666667,0.0606125,6.06125
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-144.0,-0.6,False,9.50463125,0.0642,6.419999999999999,9.946520833333333,0.061195833333333324,6.119583333333332
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-120.0,-0.5,True,9.50463125,0.0642,6.419999999999999,9.932866666666666,0.06144166666666667,6.144166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-96.0,-0.4,True,9.50463125,0.0642,6.419999999999999,9.916470833333333,0.06136250000000001,6.13625
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-72.0,-0.3,True,9.50463125,0.0642,6.419999999999999,9.8970875,0.061025,6.1025
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-48.0,-0.2,True,9.50463125,0.0642,6.419999999999999,9.877112499999999,0.06185416666666667,6.185416666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-24.0,-0.1,True,9.50463125,0.0642,6.419999999999999,9.870866666666666,0.06300833333333333,6.300833333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,0.0,0.0,True,9.50463125,0.0642,6.419999999999999,9.863783333333332,0.0646375,6.46375
6.4%,0.0642,6.419999999999999,BPA2014,BPA,24.0,0.1,True,9.504631249999997,0.0642,6.419999999999999,9.864508333333333,0.06494166666666668,6.4941666666666675
6.4%,0.0642,6.419999999999999,BPA2014,BPA,48.0,0.2,True,9.50463124999999,0.0642,6.419999999999999,9.870891666666667,0.0651625,6.516249999999999
6.4%,0.0642,6.419999999999999,BPA2014,BPA,72.0,0.3,True,9.504631249999946,0.0642,6.419999999999999,9.875995833333334,0.06599166666666667,6.599166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,96.0,0.4,True,9.50463124999967,0.0642,6.419999999999999,9.894941666666666,0.0651875,6.51875
6.4%,0.0642,6.419999999999999,BPA2014,BPA,120.0,0.5,True,9.504631249998098,0.0642,6.419999999999999,9.907029166666668,0.06437083333333334,6.437083333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,144.0,0.6,False,9.504631249989576,0.0642,6.419999999999999,9.907204166666666,0.06434166666666667,6.434166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,168.0,0.7,False,9.504631249945772,0.0642,6.419999999999999,9.915158333333332,0.06475833333333333,6.475833333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,192.0,0.8,False,9.504631249732514,0.0642,6.419999999999999,9.938075,0.06457083333333333,6.457083333333332
6.4%,0.0642,6.419999999999999,BPA2014,BPA,216.0,0.9,False,9.504631248748936,0.0642,6.419999999999999,9.965445833333334,0.06365416666666666,6.3654166666666665
6.4%,0.0642,6.419999999999999,BPA2014,BPA,240.0,1.0,False,9.504631244451737,0.0642,6.419999999999999,9.9964375,0.061891666666666664,6.189166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,264.0,1.1,False,9.504631226669085,0.0642,6.419999999999999,10.013995833333333,0.060725,6.0725
6.4%,0.0642,6.419999999999999,BPA2014,BPA,288.0,1.2,False,9.504631156974131,0.0642,6.419999999999999,10.031295833333335,0.06094583333333334,6.0945833333333335
6.4%,0.0642,6.419999999999999,BPA2014,BPA,312.0,1.3,False,9.504630898299542,0.0642,6.419999999999999,10.0398125,0.06156666666666667,6.156666666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,336.0,1.4,False,9.504629989219842,0.0642,6.419999999999999,10.039787500000001,0.0621375,6.21375
6.4%,0.0642,6.419999999999999,BPA2014,BPA,360.0,1.5,False,9.504626964484896,0.0642,6.419999999999999,10.039470833333333,0.06116666666666667,6.116666666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-360.0,-1.5,False,9.50463125,0.0642,6.419999999999999,10.019204166666666,0.06457916666666666,6.457916666666666
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-336.0,-1.4,False,9.50463125,0.0642,6.419999999999999,10.012329166666666,0.06422083333333334,6.422083333333334
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-312.0,-1.3,False,9.50463125,0.0642,6.419999999999999,10.018075,0.0638875,6.38875
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-288.0,-1.2,False,9.50463125,0.0642,6.419999999999999,10.014545833333333,0.06492916666666665,6.492916666666665
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-264.0,-1.1,False,9.50463125,0.0642,6.419999999999999,10.015708333333333,0.06524583333333334,6.524583333333334
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-240.0,-1.0,False,9.50463125,0.0642,6.419999999999999,10.022945833333333,0.06403333333333333,6.403333333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-216.0,-0.9,False,9.50463125,0.0642,6.419999999999999,10.0211875,0.06174583333333333,6.1745833333333335
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-192.0,-0.8,False,9.50463125,0.0642,6.419999999999999,10.009641666666667,0.06029999999999999,6.029999999999999
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-168.0,-0.7,False,9.50463125,0.0642,6.419999999999999,9.978229166666667,0.0606125,6.06125
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-144.0,-0.6,False,9.50463125,0.0642,6.419999999999999,9.946520833333333,0.061195833333333324,6.119583333333332
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-120.0,-0.5,True,9.50463125,0.0642,6.419999999999999,9.932866666666666,0.06144166666666667,6.144166666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-96.0,-0.4,True,9.50463125,0.0642,6.419999999999999,9.916470833333333,0.06136250000000001,6.13625
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-72.0,-0.3,True,9.50463125,0.0642,6.419999999999999,9.8970875,0.061025,6.1025
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-48.0,-0.2,True,9.50463125,0.0642,6.419999999999999,9.877112499999999,0.06185416666666667,6.185416666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA,-24.0,-0.1,True,9.50463125,0.0642,6.419999999999999,9.870866666666666,0.06300833333333333,6.300833333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.0,0.0,True,9.50463125,0.0642,6.419999999999999,9.863783333333332,0.0646375,6.46375
6.4%,0.0642,6.419999999999999,NPA2016,NPA,24.0,0.1,True,9.50463125,0.0642,6.419999999999999,9.864508333333333,0.06494166666666668,6.4941666666666675
6.4%,0.0642,6.419999999999999,NPA2016,NPA,48.0,0.2,True,9.50463125,0.0642,6.419999999999999,9.870891666666667,0.0651625,6.516249999999999
6.4%,0.0642,6.419999999999999,NPA2016,NPA,72.0,0.3,True,9.504631249999997,0.0642,6.419999999999999,9.875995833333334,0.06599166666666667,6.599166666666667
