TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.14562750845030534,0.022186535510406887,2.218653551040689,0.017836079501420743,0.2571155006780953,0.1614037322074255,8.126257604761543,0.06420000000000001,8.164771212121211,0.08629015151515153
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.14052667154517012,0.016056186340942358,1.6056186340942358,0.01721134222800362,0.1860720610523332,0.11852777352260137,8.167143777640357,0.07036741444444443,8.164771212121211,0.08629015151515153
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1458371276031474,0.009971654001953057,0.9971654001953058,0.01786175311154357,0.11555958387907284,0.07648045157206113,8.206041635820045,0.07653482888888886,8.164771212121211,0.08629015151515153
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.15917735316808265,0.004140126702572346,0.4140126702572346,0.019495629336407125,0.04797913353814646,0.036585731857450725,8.24294810946809,0.08270224333333333,8.164771212121211,0.08629015151515153
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.17764845059408396,0.0033047566553564525,0.3304756655356453,0.021757921438184526,0.038298190434584836,0.03168208283602471,8.277904047682009,0.08886965777777778,8.164771212121211,0.08629015151515153
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.19893805427435005,0.008987557279259855,0.8987557279259855,0.02436541687524712,0.10415507588582397,0.07223921228159323,8.310980564935402,0.09503707222222223,8.164771212121211,0.08629015151515153
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2215350894513412,0.0150567246439561,1.50567246439561,0.027133043130768423,0.17448949132175667,0.11554691204536137,8.342270956937188,0.10120448666666665,8.164771212121211,0.08629015151515153
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022,"TurbOPark, A=0.04",0.23584390549670192,0.021182722441153243,2.1182722441153246,0.028885549805311637,0.24548250372968472,0.15884372215993547,8.000002934478871,0.10737190111111113,8.164771212121211,0.08629015151515153
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022,"TurbOPark, A=0.04",0.21150755953310632,0.027327358176249726,2.7327358176249725,0.025904897276130358,0.3166915076218329,0.20037686348355188,8.036934677633864,0.11353931555555553,8.164771212121211,0.08629015151515153
12.0%,0.11970673,11.970673,Nygaard2022,"TurbOPark, A=0.04",0.19172694483723632,0.03348037158733805,3.348037158733805,0.023482218895809766,0.3879975987927115,0.2421914468339508,8.072097095135698,0.11970673000000001,8.164771212121211,0.08629015151515153
