TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,96.0,0.4,True,8.606931439340686,0.11498986012788875,11.498986012788876,7.971504166666666,0.087875,8.7875
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,120.0,0.5,True,8.589541985582718,0.11498986012788875,11.498986012788876,7.900383333333333,0.08824166666666666,8.824166666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,144.0,0.6,False,8.574858188265123,0.11498986012788875,11.498986012788876,7.8137875,0.08926666666666666,8.926666666666666
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,168.0,0.7,False,8.563385808406515,0.11498986012788875,11.498986012788876,7.7564625,0.08883333333333333,8.883333333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,192.0,0.8,False,8.555555517040704,0.11498986012788875,11.498986012788876,7.7120999999999995,0.08899166666666665,8.899166666666664
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,216.0,0.9,False,8.551683010965606,0.11498986012788875,11.498986012788876,7.672833333333334,0.08954166666666667,8.954166666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,240.0,1.0,False,8.551969333779285,0.11498986012788875,11.498986012788876,7.6561375,0.08814583333333334,8.814583333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,264.0,1.1,False,8.556474734016664,0.11498986012788875,11.498986012788876,7.682908333333333,0.08612916666666667,8.612916666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,288.0,1.2,False,8.56512864446019,0.11498986012788875,11.498986012788876,7.7153375,0.08383333333333333,8.383333333333333
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,312.0,1.3,False,8.577717742987225,0.11498986012788875,11.498986012788876,7.762645833333334,0.08387916666666667,8.387916666666667
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,336.0,1.4,False,8.593894989318688,0.11498986012788875,11.498986012788876,7.799054166666666,0.083925,8.3925
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,360.0,1.5,False,8.613191154495619,0.11498986012788875,11.498986012788876,7.8517125,0.0846125,8.46125
