TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,0.4073009600029903,0.04549632483962291,4.5496324839622915,0.04988516511011622,0.5272481742210673,0.33630297057668684,8.570994632816458,0.1317395520603765,8.164771212121211,0.08629015151515153
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,0.5349259827282153,0.028773961118487297,2.87739611184873,0.06551634685538743,0.3334559114018351,0.22628008558325605,8.690563395336989,0.11498986012788874,8.164771212121211,0.08629015151515153
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.5023768441987536,0.022186535510406887,2.218653551040689,0.061529812795358886,0.2571155006780953,0.17888122552500074,7.686894718007127,0.06420000000000001,8.164771212121211,0.08629015151515153
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.14562750845030534,0.022186535510406887,2.218653551040689,0.017836079501420743,0.2571155006780953,0.1614037322074255,8.126257604761543,0.06420000000000001,8.164771212121211,0.08629015151515153
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,0.4073009600029903,0.04831470608298765,4.831470608298765,0.04988516511011622,0.5599098533800136,0.35589997807205465,8.570994632816458,0.1345606731602849,8.164771212121211,0.08629015151515153
7.0%,0.07036741444444444,7.036741444444444,NPA2016,NPA2016,0.566775513723151,0.032546215663584864,3.2546215663584865,0.06941719479925298,0.37717184513078683,0.2540699849981733,8.72219693052247,0.1187707394105142,8.164771212121211,0.08629015151515153
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022,"TurbOPark, A=0.04",0.45569960659574055,0.016056186340942358,1.6056186340942358,0.055812905806744535,0.1860720610523332,0.13396839895409773,7.737600247638365,0.07036741444444443,8.164771212121211,0.08629015151515153
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.14052667154517012,0.016056186340942358,1.6056186340942358,0.01721134222800362,0.1860720610523332,0.11852777352260137,8.167143777640357,0.07036741444444443,8.164771212121211,0.08629015151515153
7.7%,0.07653482888888888,7.653482888888888,BPA2014,BPA2014,0.4073009600029903,0.05137747680912314,5.137747680912314,0.04988516511011622,0.5954037153371073,0.3771962952463109,8.570994632816458,0.13762608005725338,8.164771212121211,0.08629015151515153
7.7%,0.07653482888888888,7.653482888888888,NPA2016,NPA2016,0.5945922429673963,0.03649626696751898,3.649626696751898,0.072824115645112,0.42294823136462645,0.2828985850768207,8.749690841176909,0.12272790581714195,8.164771212121211,0.08629015151515153
