TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA2014,0.4073009600029903,0.04549632483962291,4.5496324839622915,0.04988516511011622,0.5272481742210673,0.33630297057668684,8.570994632816458,0.1317395520603765,8.164771212121211,0.08629015151515153
6.4%,0.0642,6.419999999999999,NPA2016,NPA2016,0.5349259827282153,0.028773961118487297,2.87739611184873,0.06551634685538743,0.3334559114018351,0.22628008558325605,8.690563395336989,0.11498986012788874,8.164771212121211,0.08629015151515153
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022,"TurbOPark, A=0.04",0.3316910197614085,0.0033047566553564525,0.3304756655356453,0.04062465574895577,0.038298190434584836,0.0392287765603332,7.877834899148227,0.08886965777777778,8.164771212121211,0.08629015151515153
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.17764845059408396,0.0033047566553564525,0.3304756655356453,0.021757921438184526,0.038298190434584836,0.03168208283602471,8.277904047682009,0.08886965777777778,8.164771212121211,0.08629015151515153
