turbine_id,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,inside_rotor_mask
T136,-1.5,0.15416666666666667,6.7736,7.2700000000000005,False
T136,-1.4,0.15416666666666667,6.7648,7.3,False
T136,-1.3,0.15416666666666667,6.7764,7.3,False
T136,-1.2,0.15416666666666667,6.7881,7.489999999999999,False
T136,-1.1,0.15416666666666667,6.7579,7.55,False
T136,-1.0,0.15416666666666667,6.7439,7.630000000000001,False
T136,-0.9,0.15416666666666667,6.7277,7.6,False
T136,-0.8,0.15416666666666667,6.7126,7.48,False
T136,-0.7,0.15416666666666667,6.7284,7.31,False
T136,-0.6,0.15416666666666667,6.7281,7.42,False
T136,-0.5,0.15416666666666667,6.7105,7.470000000000001,False
T136,-0.4,0.15416666666666667,6.6841,7.41,False
T136,-0.3,0.15416666666666667,6.658,7.449999999999999,False
T136,-0.2,0.15416666666666667,6.6376,7.6,False
T136,-0.1,0.15416666666666667,6.6173,7.670000000000001,True
T136,0.0,0.15416666666666667,6.5871,7.720000000000001,True
T136,0.1,0.15416666666666667,6.5287,7.82,True
T136,0.2,0.15416666666666667,6.4701,7.739999999999999,False
T136,0.3,0.15416666666666667,6.4374,7.779999999999999,False
T136,0.4,0.15416666666666667,6.4045,7.79,False
T136,0.5,0.15416666666666667,6.3568,7.7,False
T136,0.6,0.15416666666666667,6.32,7.64,False
T136,0.7,0.15416666666666667,6.2815,7.539999999999999,False
T136,0.8,0.15416666666666667,6.2583,7.430000000000001,False
T136,0.9,0.15416666666666667,6.2323,7.430000000000001,False
T136,1.0,0.15416666666666667,6.2135,7.290000000000001,False
T136,1.1,0.15416666666666667,6.2302,7.21,False
T136,1.2,0.15416666666666667,6.2527,7.39,False
T136,1.3,0.15416666666666667,6.2775,7.57,False
T136,1.4,0.15416666666666667,6.3234,7.61,False
T136,1.5,0.15416666666666667,6.3735,7.5,False
T136,-1.5,0.25416666666666665,7.4909,8.04,False
T136,-1.4,0.25416666666666665,7.4838,8.110000000000001,False
T136,-1.3,0.25416666666666665,7.4897,7.9799999999999995,False
T136,-1.2,0.25416666666666665,7.4975,7.9799999999999995,False
T136,-1.1,0.25416666666666665,7.491,8.03,False
T136,-1.0,0.25416666666666665,7.4721,8.14,False
T136,-0.9,0.25416666666666665,7.4571,8.17,False
T136,-0.8,0.25416666666666665,7.4574,8.21,False
T136,-0.7,0.25416666666666665,7.466,8.35,False
T136,-0.6,0.25416666666666665,7.4894,8.290000000000001,False
T136,-0.5,0.25416666666666665,7.4992,8.28,False
T136,-0.4,0.25416666666666665,7.4878,8.17,False
T136,-0.3,0.25416666666666665,7.4687,8.17,True
T136,-0.2,0.25416666666666665,7.4434,8.33,True
T136,-0.1,0.25416666666666665,7.4148,8.42,True
T136,0.0,0.25416666666666665,7.3731,8.44,True
T136,0.1,0.25416666666666665,7.2975,8.540000000000001,True
T136,0.2,0.25416666666666665,7.2233,8.52,True
T136,0.3,0.25416666666666665,7.1963,8.23,True
T136,0.4,0.25416666666666665,7.1643,8.200000000000001,False
T136,0.5,0.25416666666666665,7.1026,8.110000000000001,False
T136,0.6,0.25416666666666665,7.0518,8.02,False
T136,0.7,0.25416666666666665,7.0028,8.04,False
T136,0.8,0.25416666666666665,6.9495,8.08,False
T136,0.9,0.25416666666666665,6.8967,7.84,False
T136,1.0,0.25416666666666665,6.8835,7.829999999999999,False
T136,1.1,0.25416666666666665,6.9117,7.9399999999999995,False
T136,1.2,0.25416666666666665,6.932,7.95,False
T136,1.3,0.25416666666666665,6.9591,7.95,False
T136,1.4,0.25416666666666665,6.9986,8.04,False
T136,1.5,0.25416666666666665,7.0623,8.200000000000001,False
T136,-1.5,0.3541666666666667,7.7652,8.07,False
T136,-1.4,0.3541666666666667,7.7833,8.110000000000001,False
T136,-1.3,0.3541666666666667,7.8102,7.93,False
