turbine_id,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,inside_rotor_mask
T136,-0.1,0.15416666666666667,6.6173,7.670000000000001,True
T136,0.0,0.15416666666666667,6.5871,7.720000000000001,True
T136,0.1,0.15416666666666667,6.5287,7.82,True
T136,-0.3,0.25416666666666665,7.4687,8.17,True
T136,-0.2,0.25416666666666665,7.4434,8.33,True
T136,-0.1,0.25416666666666665,7.4148,8.42,True
T136,0.0,0.25416666666666665,7.3731,8.44,True
T136,0.1,0.25416666666666665,7.2975,8.540000000000001,True
T136,0.2,0.25416666666666665,7.2233,8.52,True
T136,0.3,0.25416666666666665,7.1963,8.23,True
T136,-0.4,0.3541666666666667,7.8251,8.25,True
T136,-0.3,0.3541666666666667,7.8103,8.32,True
T136,-0.2,0.3541666666666667,7.7805,8.48,True
T136,-0.1,0.3541666666666667,7.736,8.59,True
T136,0.0,0.3541666666666667,7.677,8.58,True
T136,0.1,0.3541666666666667,7.6112,8.64,True
T136,0.2,0.3541666666666667,7.5505,8.61,True
T136,0.3,0.3541666666666667,7.5155,8.469999999999999,True
T136,0.4,0.3541666666666667,7.492,8.39,True
T136,-0.4,0.45416666666666666,8.0726,8.17,True
T136,-0.3,0.45416666666666666,8.0477,8.33,True
T136,-0.2,0.45416666666666666,8.0069,8.53,True
T136,-0.1,0.45416666666666666,7.9547,8.62,True
T136,0.0,0.45416666666666666,7.8938,8.67,True
T136,0.1,0.45416666666666666,7.824,8.780000000000001,True
T136,0.2,0.45416666666666666,7.771,8.7,True
T136,0.3,0.45416666666666666,7.735,8.57,True
T136,0.4,0.45416666666666666,7.6988,8.540000000000001,True
T136,-0.4,0.5541666666666667,8.2682,8.25,True
T136,-0.3,0.5541666666666667,8.2254,8.459999999999999,True
T136,-0.2,0.5541666666666667,8.1801,8.6,True
T136,-0.1,0.5541666666666667,8.1257,8.64,True
T136,0.0,0.5541666666666667,8.0606,8.63,True
T136,0.1,0.5541666666666667,7.9983,8.790000000000001,True
T136,0.2,0.5541666666666667,7.9331,8.81,True
T136,0.3,0.5541666666666667,7.8884,8.77,True
T136,0.4,0.5541666666666667,7.8666,8.66,True
T136,-0.4,0.6541666666666667,8.4101,8.35,True
T136,-0.3,0.6541666666666667,8.368,8.39,True
T136,-0.2,0.6541666666666667,8.3186,8.57,True
T136,-0.1,0.6541666666666667,8.2778,8.690000000000001,True
T136,0.0,0.6541666666666667,8.2252,8.690000000000001,True
T136,0.1,0.6541666666666667,8.1699,8.76,True
T136,0.2,0.6541666666666667,8.0922,8.799999999999999,True
T136,0.3,0.6541666666666667,8.0351,8.88,True
T136,0.4,0.6541666666666667,8.0147,8.84,True
T136,-0.4,0.7541666666666667,8.5335,8.38,True
T136,-0.3,0.7541666666666667,8.5152,8.41,True
T136,-0.2,0.7541666666666667,8.472,8.48,True
T136,-0.1,0.7541666666666667,8.4337,8.63,True
T136,0.0,0.7541666666666667,8.3837,8.83,True
T136,0.1,0.7541666666666667,8.3281,8.91,True
T136,0.2,0.7541666666666667,8.2538,9.01,True
T136,0.3,0.7541666666666667,8.1937,9.11,True
T136,0.4,0.7541666666666667,8.1406,9.13,True
T136,-0.4,0.8541666666666666,8.6608,8.36,True
T136,-0.3,0.8541666666666666,8.6413,8.39,True
T136,-0.2,0.8541666666666666,8.613,8.52,True
T136,-0.1,0.8541666666666666,8.5722,8.63,True
T136,0.0,0.8541666666666666,8.5271,8.86,True
T136,0.1,0.8541666666666666,8.4766,9.09,True
T136,0.2,0.8541666666666666,8.4128,9.32,True
T136,0.3,0.8541666666666666,8.3418,9.32,True
T136,0.4,0.8541666666666666,8.2788,9.29,True
T136,-0.3,0.9541666666666667,8.7873,8.25,True
T136,-0.2,0.9541666666666667,8.7654,8.459999999999999,True
T136,-0.1,0.9541666666666667,8.7219,8.68,True
T136,0.0,0.9541666666666667,8.6632,8.97,True
T136,0.1,0.9541666666666667,8.6051,9.26,True
T136,0.2,0.9541666666666667,8.5535,9.46,True
T136,0.3,0.9541666666666667,8.4876,9.48,True
T136,-0.2,1.0541666666666667,8.9238,8.38,True
T136,-0.1,1.0541666666666667,8.8875,8.76,True
T136,0.0,1.0541666666666667,8.8302,9.06,True
T136,0.1,1.0541666666666667,8.764,9.29,True
T136,0.2,1.0541666666666667,8.7089,9.43,True
