turbine,case,seed,U,mean_thrust,std_thrust,DEL
T30,Waked_NPA,105,10,2005118.6114545998,180653.51669139,169999.46361294916
T30,Waked_NPA,106,10,2003299.4645499093,159521.05536885734,141139.9239609928
T30,Waked_TurbOPark_A0.04,101,10,2009418.1414910425,129002.88820773322,135313.1819081889
T30,Waked_TurbOPark_A0.04,102,10,1992598.1257347208,179200.76063448138,163088.60686008117
T30,Waked_TurbOPark_A0.04,103,10,1998720.773712421,164768.5916665456,138192.0499543556
T30,Waked_TurbOPark_A0.04,104,10,2002906.069956408,150760.82157387785,130067.40819241814
T30,Waked_TurbOPark_A0.04,105,10,2005122.2941952432,180654.12255616052,170004.58307620848
T30,Waked_TurbOPark_A0.04,106,10,2003303.8354157228,159521.81364932453,141140.75178118126
T30,Waked_TurbOPark_A0.06,101,10,2009417.9692619157,129002.59118230603,135313.0614154713
T30,Waked_TurbOPark_A0.06,102,10,1992597.382046377,179201.15790768128,163087.74374762882
T30,Waked_TurbOPark_A0.06,103,10,1998721.0536340976,164769.40291638722,138194.17670490188
T30,Waked_TurbOPark_A0.06,104,10,2002906.6110658252,150760.80365580934,130067.44395543495
T30,Waked_TurbOPark_A0.06,105,10,2005122.5586600432,180653.7857151841,170000.87266983898
T30,Waked_TurbOPark_A0.06,106,10,2003303.8960301245,159522.3113126245,141144.51529836602
T119,LES,101,10,1547477.7225028106,147494.69040492934,167878.36293755873
T119,LES,102,10,1528906.553402555,207046.01016332684,186980.985099567
T119,LES,103,10,1533853.6363870467,184241.06302468028,155467.5756811583
T119,LES,104,10,1537735.541535306,158494.65004178628,139752.58917502937
T119,LES,105,10,1542115.6045244085,197495.31736679238,187558.173031709
T119,LES,106,10,1536901.9423243613,175385.20932122463,151974.60488945124
T119,Waked_BPA,101,10,1709117.5409126803,228200.52160422844,243238.6224019776
T119,Waked_BPA,102,10,1676920.480986589,308403.5845796504,279914.07601297006
T119,Waked_BPA,103,10,1687064.6912144832,283251.2858714176,235928.04749216698
T119,Waked_BPA,104,10,1695504.6542423242,251620.0553392514,213063.78159694793
T119,Waked_BPA,105,10,1699807.693588479,303022.94824049517,283319.4069614583
T119,Waked_BPA,106,10,1695296.198650149,268689.78886619024,235343.22526793325
T119,Waked_NPA,101,10,1743655.0007181943,202922.7118759003,218687.50602616067
T119,Waked_NPA,102,10,1715803.3704476212,276031.69407130626,248579.39697565016
T119,Waked_NPA,103,10,1722936.4329150904,251373.12652197073,208867.81040900652
T119,Waked_NPA,104,10,1731128.1619336633,224510.74358533288,190761.535882167
T119,Waked_NPA,105,10,1735212.2818558987,270087.6174083368,250658.14274274925
T119,Waked_NPA,106,10,1731198.4947339795,242224.59253022517,212020.52584757574
T119,Waked_TurbOPark_A0.04,101,10,1482274.8549180608,139935.4400268518,159610.99878425914
T119,Waked_TurbOPark_A0.04,102,10,1463020.7659191836,201631.24782900367,184720.57757706448
T119,Waked_TurbOPark_A0.04,103,10,1468745.6909583444,182200.86124493074,151605.3040337002
T119,Waked_TurbOPark_A0.04,104,10,1472944.3378692963,161928.47835194258,140986.69789995553
T119,Waked_TurbOPark_A0.04,105,10,1474410.6611132743,193600.30792393553,184362.46489385352
T119,Waked_TurbOPark_A0.04,106,10,1473814.5405509674,173056.80989857527,151826.2724228188
T119,Waked_TurbOPark_A0.06,101,10,1599510.4721531554,152866.93138514776,167097.63683580823
T119,Waked_TurbOPark_A0.06,102,10,1580481.0821941409,217496.83090431735,200121.44008436622
T119,Waked_TurbOPark_A0.06,103,10,1585131.6484995964,193949.5718725557,161647.6675474376
T119,Waked_TurbOPark_A0.06,104,10,1590974.4188142447,172385.60109011305,147546.69976382548
T119,Waked_TurbOPark_A0.06,105,10,1593109.7319344957,207255.95173689254,194183.53148410504
T119,Waked_TurbOPark_A0.06,106,10,1590602.7659016694,185992.08408253052,163384.40136501283
T120,LES,101,10,1533147.7256007933,140257.7910469276,161612.00140424573
T120,LES,102,10,1514378.7302694344,197134.24332600812,178477.0108523985
T120,LES,103,10,1519256.2853381177,174903.87781176378,144462.3676742024
T120,LES,104,10,1523650.6236348832,151561.36525916666,132126.12773670215
T120,LES,105,10,1527601.653129048,187498.34875389628,177771.14430649072
T120,LES,106,10,1522857.6516106853,166666.84058385197,143155.86836924838
T120,Waked_BPA,101,10,1709117.5409126803,228200.52160422844,243238.6224019776
T120,Waked_BPA,102,10,1676920.480986589,308403.5845796504,279914.07601297006
T120,Waked_BPA,103,10,1687064.6912144832,283251.2858714176,235928.04749216698
T120,Waked_BPA,104,10,1695504.6542423242,251620.0553392514,213063.78159694793
T120,Waked_BPA,105,10,1699807.693588479,303022.94824049517,283319.4069614583
T120,Waked_BPA,106,10,1695296.198650149,268689.78886619024,235343.22526793325
T120,Waked_NPA,101,10,1743655.0007181943,202922.7118759003,218687.50602616067
T120,Waked_NPA,102,10,1715803.3704476212,276031.69407130626,248579.39697565016
T120,Waked_NPA,103,10,1722936.4329150904,251373.12652197073,208867.81040900652
T120,Waked_NPA,104,10,1731128.1619336633,224510.74358533288,190761.535882167
T120,Waked_NPA,105,10,1735212.2818558987,270087.6174083368,250658.14274274925
T120,Waked_NPA,106,10,1731198.4947339795,242224.59253022517,212020.52584757574
T120,Waked_TurbOPark_A0.04,101,10,1467870.0310015576,130001.30043172838,150273.23965331304
T120,Waked_TurbOPark_A0.04,102,10,1449670.1427643267,187739.79149229237,173893.54409844085
T120,Waked_TurbOPark_A0.04,103,10,1455265.3108307677,169897.86622287598,138243.79029340195
T120,Waked_TurbOPark_A0.04,104,10,1459620.0952661622,150496.70619357788,131863.15779692872
T120,Waked_TurbOPark_A0.04,105,10,1461010.0542136177,180056.19088795228,167806.76836827726
T120,Waked_TurbOPark_A0.04,106,10,1459911.5579808236,161044.81629164115,141039.88540937434
T120,Waked_TurbOPark_A0.06,101,10,1587038.485597694,142247.4597532062,156419.49154070843
T120,Waked_TurbOPark_A0.06,102,10,1568664.8609024736,201334.36972871143,186533.25457201668
T120,Waked_TurbOPark_A0.06,103,10,1573112.980013318,181534.0871454461,150613.58576305816
T120,Waked_TurbOPark_A0.06,104,10,1578479.6851567512,161039.9174895355,139440.08188177465
T120,Waked_TurbOPark_A0.06,105,10,1580586.3110590766,192978.26904977087,179405.7422230158
T120,Waked_TurbOPark_A0.06,106,10,1578991.626351813,173517.7046864846,151960.69843537293
T135,LES,101,10,1453710.74111954,133919.00276311833,155991.07083230617
T135,LES,102,10,1433926.7827569526,189608.71480915352,171733.59147580413
T135,LES,103,10,1439714.5523603556,169763.82237171274,141474.03522187134
T135,LES,104,10,1442281.519136499,145760.7461420954,130568.32985647857
T135,LES,105,10,1446996.5078518244,179832.99076556996,171902.37144461035
T135,LES,106,10,1443289.192137499,160169.63514337462,138671.22414272942
T135,Waked_BPA,101,10,1686222.535059739,222670.02999778508,238988.66863498348
T135,Waked_BPA,102,10,1655439.65140862,304444.037578673,274382.7475909435
T135,Waked_BPA,103,10,1663670.9718754117,278939.1028881368,231678.5887848318
T135,Waked_BPA,104,10,1673964.6464510227,247677.68840133963,208271.19096677523
T135,Waked_BPA,105,10,1676994.161513661,298875.11477262346,278709.8112860093
T135,Waked_BPA,106,10,1672389.4569875847,267480.94774519873,233926.05664120548
T135,Waked_NPA,101,10,1715514.5761884148,199126.36384518773,215630.63520340744
T135,Waked_NPA,102,10,1688708.9456544316,274191.57300412265,255185.0749859587
T135,Waked_NPA,103,10,1695267.0675120854,248169.92555018995,204285.61774276404
T135,Waked_NPA,104,10,1703480.195531986,220438.37244370108,187434.7027950688
T135,Waked_NPA,105,10,1707533.2905950637,265544.7328346422,245403.9568119631
T135,Waked_NPA,106,10,1703755.9308744264,239712.45342541204,209598.58335190534
T135,Waked_TurbOPark_A0.04,101,10,1467865.9685010728,130002.0500533347,150275.56095152497
T135,Waked_TurbOPark_A0.04,102,10,1449664.9685961863,187737.56510974976,173892.9006183983
T135,Waked_TurbOPark_A0.04,103,10,1455262.5785908694,169897.6733948339,138243.52533937118
T135,Waked_TurbOPark_A0.04,104,10,1459617.2922883017,150496.89094564502,131866.15747836302
T135,Waked_TurbOPark_A0.04,105,10,1461010.405358068,180054.33363267782,167806.1904459156
T135,Waked_TurbOPark_A0.04,106,10,1459907.1432315342,161045.1621608797,141041.79590832768
T135,Waked_TurbOPark_A0.06,101,10,1586996.0480565494,142252.4353609758,156426.0936184349
