turbine,case,count,mean,min,max,std
T17,LES,6,1.0253542498953085,0.854966695620581,1.1866078239285924,0.13144014712596444
T17,Waked_BPA,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T17,Waked_NPA,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T17,Waked_TurbOPark_A0.04,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T17,Waked_TurbOPark_A0.06,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T30,LES,6,1.0331705964880806,0.8502983126282135,1.18600410075516,0.13057490052484919
T30,Waked_BPA,6,1.03962622217014,0.9243415711599855,1.208010742284157,0.11545533746257959
T30,Waked_NPA,6,1.039682588161413,0.924330347892528,1.2081188375935872,0.11547452610166355
T30,Waked_TurbOPark_A0.04,6,1.0397039346130157,0.9243375399818934,1.2081552195907448,0.115483010784672
T30,Waked_TurbOPark_A0.06,6,1.0397053938584178,0.9243377941354853,1.2081288512026638,0.11547090965310075
T119,LES,6,1.1721304144515354,0.9931662841550869,1.3329016290318767,0.1384695660578133
T119,Waked_BPA,6,1.7657626428300752,1.514159884305609,2.013438779932181,0.19627074617089135
T119,Waked_NPA,6,1.5747936985102537,1.3556666597033677,1.7813281148533635,0.1677408985623527
T119,Waked_TurbOPark_A0.04,6,1.152587283315799,1.0019366059345511,1.3127359623328858,0.1300690579689295
T119,Waked_TurbOPark_A0.06,6,1.2246826674465907,1.0485559402427722,1.4221837906661674,0.14514415101886885
T120,LES,6,1.1105306443972247,0.9389680441606263,1.26836540719387,0.13774038055825627
T120,Waked_BPA,6,1.7657626428300752,1.514159884305609,2.013438779932181,0.19627074617089135
T120,Waked_NPA,6,1.5747936985102537,1.3556666597033677,1.7813281148533635,0.1677408985623527
T120,Waked_TurbOPark_A0.04,6,1.0696864638017587,0.9370992209819575,1.2357925248490906,0.12034615384683053
T120,Waked_TurbOPark_A0.06,6,1.1422359685953907,0.9909454186309109,1.3256179395905332,0.12970962971928085
T135,LES,6,1.0782383581959685,0.9278973917934731,1.2216420496601172,0.12507450838072717
T135,Waked_BPA,6,1.7363293451707584,1.4801008414231636,1.9806802096941059,0.19285512639066937
T135,Waked_NPA,6,1.5605374402569454,1.3320241749764523,1.8134992288280698,0.18304332441547844
T135,Waked_TurbOPark_A0.04,6,1.0696932685196126,0.9371205385294988,1.235787951891362,0.12033806086993558
T135,Waked_TurbOPark_A0.06,6,1.1422178834614696,0.9907121553238207,1.3257279134617261,0.12977854030648223
T136,LES,6,1.0829539374555701,0.921619556259356,1.2461685999934662,0.12767191160575192
T136,Waked_BPA,6,1.7372500937450954,1.480098777311409,1.9806345007879158,0.1923717208811977
T136,Waked_NPA,6,1.560356411841907,1.331988313887188,1.813313986252505,0.18300936783328386
T136,Waked_TurbOPark_A0.04,6,1.0696932685196126,0.9371205385294988,1.235787951891362,0.12033806086993558
T136,Waked_TurbOPark_A0.06,6,1.1422178834614696,0.9907121553238207,1.3257279134617261,0.12977854030648223
T225,LES,6,1.1108959974305057,0.9262821729239007,1.3217714189871752,0.13483253316827704
T225,Waked_BPA,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T225,Waked_NPA,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T225,Waked_TurbOPark_A0.04,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T225,Waked_TurbOPark_A0.06,6,1.0397030898188109,0.9243362601619183,1.2081566332852118,0.11548206101585734
T238,LES,6,1.1416318125794158,0.9896353245448584,1.2805567337612618,0.12466792028379514
T238,Waked_BPA,6,1.6768972572759742,1.4248098899947488,1.956298369056918,0.20462423986571399
T238,Waked_NPA,6,1.5231852804060138,1.2843510508502263,1.784886480457156,0.1889858024534953
T238,Waked_TurbOPark_A0.04,6,1.091376788701229,0.9735099780204959,1.232652410353055,0.11287260920400638
T238,Waked_TurbOPark_A0.06,6,1.179407522497452,1.0034543865842824,1.365015737653685,0.14290449997506946
