TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.3109119128786747,0.024890495941110632,2.489049594111063,0.03696617009137475,0.28016094550146486,0.1828830353374288,8.126291911788204,0.06420000000000001,8.410714772727273,0.08884356060606059
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2740089593463043,0.01880424648411273,1.880424648411273,0.03257855803585332,0.21165570533009423,0.14002484641239787,8.167192931664315,0.07036741444444443,8.410714772727273,0.08884356060606059
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.23972593953503196,0.012795959727006471,1.2795959727006472,0.028502445512998655,0.1440279930218553,0.09781777401831263,8.206110674684457,0.07653482888888886,8.410714772727273,0.08884356060606059
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.20831920488266634,0.007067353584911447,0.7067353584911447,0.02476831167288727,0.07954829293986375,0.057636300433073155,8.243043148621204,0.08270224333333333,8.410714772727273,0.08884356060606059
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.18013485533676873,0.003497483368399898,0.3497483368399898,0.02141730640074457,0.03936676270673141,0.032186980184336675,8.278032255041659,0.08886965777777778,8.410714772727273,0.08884356060606059
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.15566235520751265,0.007112755794303008,0.7112755794303008,0.018507625025195963,0.0800593283945646,0.05543864704681714,8.311150177529623,0.09503707222222223,8.410714772727273,0.08884356060606059
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.13559307134521162,0.01284617460280033,1.284617460280033,0.016121468271030667,0.1445931985972657,0.09320450646677167,8.34249123120418,0.10120448666666665,8.410714772727273,0.08884356060606059
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.12080657435623295,0.018855532628938316,1.8855532628938316,0.01436341352912863,0.21223296883096848,0.13308514671023255,8.372144913421154,0.10737190111111113,8.410714772727273,0.08884356060606059
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.11213129951431595,0.024942173549539867,2.4942173549539866,0.013331958405950802,0.28074261521479815,0.17377835249125922,8.400214775208807,0.11353931555555553,8.410714772727273,0.08884356060606059
12.0%,0.11970673,11.970673,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.10987966032276696,0.031060697575696194,3.1060697575696192,0.013064247604622692,0.3496111295383781,0.21499237676487593,8.426798518052234,0.11970673000000001,8.410714772727273,0.08884356060606059
