TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-360.0,-1.5,False,8.584001982335053,0.11714134603409423,11.714134603409423,8.250525,0.08638749999999999,8.63875
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-336.0,-1.4,False,8.633340277205034,0.11714134603409423,11.714134603409423,8.309354166666667,0.08389166666666667,8.389166666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-312.0,-1.3,False,8.671119615832032,0.11714134603409423,11.714134603409423,8.357579166666667,0.08269166666666666,8.269166666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-288.0,-1.2,False,8.699951735555238,0.11714134603409423,11.714134603409423,8.401245833333334,0.08210833333333334,8.210833333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-264.0,-1.1,False,8.721890937113889,0.11714134603409423,11.714134603409423,8.435758333333332,0.08051666666666667,8.051666666666666
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-240.0,-1.0,False,8.738329172264683,0.11714134603409423,11.714134603409423,8.459054166666666,0.08015833333333333,8.015833333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-216.0,-0.9,False,8.750010227940882,0.11714134603409423,11.714134603409423,8.46605,0.08128333333333333,8.128333333333334
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-192.0,-0.8,False,8.757120651639463,0.11714134603409423,11.714134603409423,8.452408333333334,0.08303333333333333,8.303333333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-168.0,-0.7,False,8.75942144175614,0.11714134603409423,11.714134603409423,8.4568625,0.08290416666666667,8.290416666666667
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-144.0,-0.6,False,8.756394980128311,0.11714134603409423,11.714134603409423,8.445329166666667,0.08455833333333333,8.455833333333333
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-120.0,-0.5,True,8.747391888592398,0.13173955206037644,13.173955206037643,8.404791666666668,0.0869875,8.69875
6.4%,0.0642,6.419999999999999,BPA2014,BPA,-96.0,-0.4,True,8.731769983380039,0.13173955206037644,13.173955206037643,8.363116666666667,0.08736250000000001,8.736250000000002
