TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.3230525260101362,0.023215359124314498,2.32153591243145,0.0382198204924344,0.2521913394898869,0.1666027318909059,8.7615364754998,0.11498513537331898,8.452486742424243,0.09205454545454544
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.3110120569729247,0.021988010294185754,2.1988010294185756,0.03679533212538632,0.23885849618412336,0.15803323056062854,8.167192931664312,0.07036741444444443,8.452486742424243,0.09205454545454544
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2754162262086575,0.01593745737331551,1.593745737331551,0.032584047109627985,0.173130585726319,0.11691197027964259,8.206110674684453,0.07653482888888886,8.452486742424243,0.09205454545454544
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2422472019617114,0.010030279169313419,1.0030279169313419,0.02865987363764062,0.1089601726865965,0.07684005306701414,8.243043148621203,0.08270224333333333,8.452486742424243,0.09205454545454544
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2116530628209804,0.004825396850162739,0.48253968501627387,0.02504033064715302,0.052418887370916586,0.04146746468141116,8.278032255041657,0.08886965777777778,8.452486742424243,0.09205454545454544
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1838363168578309,0.004694295598685948,0.4694295598685948,0.02174937653970281,0.050994718137018995,0.03929658149809252,8.311150177529619,0.09503707222222223,8.452486742424243,0.09205454545454544
10.1%,0.10120448666666666,10.120448666666666,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.15910619700772036,0.009841868188164685,0.9841868188164685,0.018823596162433894,0.10691344071678012,0.07167750289504163,8.342491231204178,0.10120448666666665,8.452486742424243,0.09205454545454544
10.7%,0.10737190111111111,10.737190111111111,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1379437663384551,0.01574046789513126,1.5740467895131258,0.016319903306809762,0.17099066447407058,0.10912236000716624,8.372144913421153,0.10737190111111113,8.452486742424243,0.09205454545454544
11.4%,0.11353931555555555,11.353931555555555,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.12101699141126883,0.02178844399082209,2.178844399082209,0.014317324013519855,0.2366905825588021,0.14774127914068919,8.400214775208806,0.11353931555555553,8.452486742424243,0.09205454545454544
12.0%,0.11970673,11.970673,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.10912079976039356,0.02788878368419478,2.788878368419478,0.01290990487008996,0.3029593329312094,0.18693956170676163,8.42679851805223,0.11970673000000001,8.452486742424243,0.09205454545454544
