TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA,0.17398811490977575,0.03752538417589715,3.752538417589715,0.02139083668454068,0.39804492946259495,0.24738329235137324,8.303498560039435,0.13177380039020778,8.13376856060606,0.09427424242424243
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.4069604255789007,0.020779148808036503,2.0779148808036503,0.0500334405320942,0.22041172937278558,0.15226041383650904,8.538993143216363,0.11500671490778011,8.13376856060606,0.09427424242424243
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.8201379893273113,0.03010643896740331,3.010643896740331,0.10083124239598497,0.31934957198512054,0.23194224014946632,7.321239906935179,0.06420000000000001,8.13376856060606,0.09427424242424243
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.2755577230471657,0.03010643896740331,3.010643896740331,0.033878235038769466,0.31934957198512054,0.2051610372065801,7.872508376356557,0.06420000000000001,8.13376856060606,0.09427424242424243
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA,0.17398811490977575,0.040343782805216576,4.034378280521658,0.02139083668454068,0.42794067358999277,0.26532073882781193,8.303498560039435,0.1345940043422971,8.13376856060606,0.09427424242424243
7.0%,0.07036741444444444,7.036741444444444,NPA2016,NPA,0.43474050505091383,0.02455238636061019,2.455238636061019,0.0534488413103459,0.2604357853136839,0.1776410077123487,8.566506475978217,0.11878713833832814,8.13376856060606,0.09427424242424243
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022,"TurbOPark, A=0.04",0.7471903889835039,0.023947317886592823,2.394731788659282,0.09186275505825674,0.2540176115001569,0.18915566892339683,7.395143493171518,0.07036741444444443,8.13376856060606,0.09427424242424243
7.0%,0.07036741444444444,7.036741444444444,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.22221935416010807,0.023947317886592823,2.394731788659282,0.02732058977389322,0.2540176115001569,0.16333880280965143,7.929652601374732,0.07036741444444443,8.13376856060606,0.09427424242424243
7.7%,0.07653482888888888,7.653482888888888,BPA2014,BPA,0.17398811490977575,0.043406574184698565,4.340657418469856,0.02139083668454068,0.4604287774529669,0.2848136011455964,8.303498560039435,0.1376584915539192,8.13376856060606,0.09427424242424243
7.7%,0.07653482888888888,7.653482888888888,NPA2016,NPA,0.46110463549576874,0.028503549885860877,2.850354988586088,0.056690159310533804,0.30234716453718485,0.20408436244652442,8.592598781447869,0.12274378309826602,8.13376856060606,0.09427424242424243
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022,"TurbOPark, A=0.04",0.6788761952549152,0.017793942859416,1.7793942859416,0.08346391837885428,0.18874660142419053,0.14663352820605602,7.4645576350952245,0.07653482888888886,8.13376856060606,0.09427424242424243
7.7%,0.07653482888888888,7.653482888888888,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.17441855077289142,0.017793942859416,1.7793942859416,0.021443756294916662,0.18874660142419053,0.12182546337248099,7.9829826374112285,0.07653482888888886,8.13376856060606,0.09427424242424243
8.3%,0.08270224333333333,8.270224333333333,BPA2014,BPA,0.17398811490977575,0.04669385536175984,4.669385536175984,0.02139083668454068,0.4952981234432345,0.30573520873975696,8.303498560039435,0.14094734515632007,8.13376856060606,0.09427424242424243
8.3%,0.08270224333333333,8.270224333333333,NPA2016,NPA,0.4867836566572732,0.032618106417970305,3.2618106417970303,0.05984724707005951,0.34599171077064655,0.23153392529041172,8.618009126203242,0.1268626338602762,8.13376856060606,0.09427424242424243
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022,"TurbOPark, A=0.04",0.614941353689886,0.011655418176362353,1.1655418176362353,0.07560349782611295,0.1236331141640146,0.10442126762885394,7.529740671270074,0.08270224333333333,8.13376856060606,0.09427424242424243
8.3%,0.08270224333333333,8.270224333333333,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.1333725783224224,0.011655418176362353,1.1655418176362353,0.016397390376753557,0.1236331141640146,0.08073882464911018,8.032776891890514,0.08270224333333333,8.13376856060606,0.09427424242424243
8.9%,0.08886965777777778,8.886965777777778,BPA2014,BPA,0.17398811490977575,0.050187273540430656,5.018727354043065,0.02139083668454068,0.5323540370081521,0.3279687568787075,8.303498560039435,0.14444220845353378,8.13376856060606,0.09427424242424243
8.9%,0.08886965777777778,8.886965777777778,NPA2016,NPA,0.5117544791656026,0.03688238373530482,3.6882383735304822,0.06291726588388089,0.3912243979573003,0.2599015451279325,8.642718130255284,0.13113034938214563,8.13376856060606,0.09427424242424243
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022,"TurbOPark, A=0.04",0.5551238282101824,0.0055809627401263275,0.5580962740126327,0.068249277573349,0.059199231906966715,0.06281925017351964,7.590963766743529,0.08886965777777778,8.13376856060606,0.09427424242424243
8.9%,0.08886965777777778,8.886965777777778,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.10202720193349311,0.0055809627401263275,0.5580962740126327,0.012543656876055853,0.059199231906966715,0.04053700189460237,8.079308022408242,0.08886965777777778,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,BPA2014,BPA,0.17398811490977575,0.05386989645206935,5.386989645206935,0.02139083668454068,0.5714169116273569,0.35140648165023036,8.303498560039435,0.14812615171120086,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,NPA2016,NPA,0.5359924415491408,0.041283608574353835,4.128360857435384,0.06589718376609467,0.4379097356049168,0.28910471486938794,8.666703678122337,0.13553437726423764,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022,"TurbOPark, A=0.04",0.4991744679075962,0.001587299343716502,0.1587299343716502,0.06137062595132433,0.016837041623453355,0.034650475354601744,7.648494216371711,0.09503707222222223,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.08592125254306353,0.001587299343716502,0.1587299343716502,0.010563523156929044,0.016837041623453355,0.01432763423684363,8.122839138045807,0.09503707222222223,8.13376856060606,0.09427424242424243
10.1%,0.10120448666666666,10.120448666666666,BPA2014,BPA,0.17398811490977575,0.05772612051304913,5.772612051304913,0.02139083668454068,0.6123212346090938,0.3759490754392726,8.303498560039435,0.15198357771396132,8.13376856060606,0.09427424242424243
10.1%,0.10120448666666666,10.120448666666666,NPA2016,NPA,0.5594742641264923,0.04580996113379574,4.580996113379574,0.06878413861394711,0.48592234692957664,0.3190670636033248,8.689944246519577,0.1400630503272005,8.13376856060606,0.09427424242424243
