TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA,0.17398811490977575,0.03752538417589715,3.752538417589715,0.02139083668454068,0.39804492946259495,0.24738329235137324,8.303498560039435,0.13177380039020778,8.13376856060606,0.09427424242424243
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.4069604255789007,0.020779148808036503,2.0779148808036503,0.0500334405320942,0.22041172937278558,0.15226041383650904,8.538993143216363,0.11500671490778011,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022,"TurbOPark, A=0.04",0.4991744679075962,0.001587299343716502,0.1587299343716502,0.06137062595132433,0.016837041623453355,0.034650475354601744,7.648494216371711,0.09503707222222223,8.13376856060606,0.09427424242424243
9.5%,0.09503707222222221,9.503707222222221,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.08592125254306353,0.001587299343716502,0.1587299343716502,0.010563523156929044,0.016837041623453355,0.01432763423684363,8.122839138045807,0.09503707222222223,8.13376856060606,0.09427424242424243
