case,y_over_D,z_over_D,U_mean_mps,U_std_mps,TI_percent,inside_rotor_mask
BPA2014,-0.15277777413527172,0.14957265059153238,7.483837438256715,0.9954950879292526,13.30193361550546,True
BPA2014,-0.12499999701976776,0.14957265059153238,7.482874208857883,0.9909696789035994,13.243169018270212,True
BPA2014,-0.09722221990426382,0.14957265059153238,7.479699893993449,0.9890418807097411,13.223015558471648,True
BPA2014,-0.06944444278875987,0.14957265059153238,7.4741403944936184,0.9837580842858691,13.16215688175496,True
BPA2014,-0.04166666567325592,0.14957265059153238,7.451866395497321,0.9951711497070798,13.354656362443604,True
BPA2014,-0.013888888557751973,0.14957265059153238,7.44270251227275,0.9881649015682178,13.276963575243927,True
BPA2014,0.013888888557751973,0.14957265059153238,7.42272804828069,0.9873219732075974,13.301335665076516,True
BPA2014,0.04166666567325592,0.14957265059153238,7.3946578122459155,0.9942037921743118,13.444892480729283,True
BPA2014,0.06944444278875987,0.14957265059153238,7.400546277933272,0.9650780589424977,13.040632714102992,True
BPA2014,0.09722221990426382,0.14957265059153238,7.393334083274424,0.9825474139716,13.28963905735531,True
BPA2014,0.12499999701976776,0.14957265059153238,7.3820283013709185,0.9786712992536318,13.257485061007996,True
BPA2014,0.15277777413527172,0.14957265059153238,7.386516797981065,0.9648951853440332,13.062925486174557,True
BPA2014,-0.2083333283662796,0.17863247990608216,7.678341523337844,0.9871420194803631,12.856187973405534,True
BPA2014,-0.18055555125077566,0.17863247990608216,7.643169482442019,1.0139758453140937,13.26643151958636,True
BPA2014,-0.15277777413527172,0.17863247990608216,7.641919591469764,1.0074289963557053,13.182931124795402,True
BPA2014,-0.12499999701976776,0.17863247990608216,7.616336576045567,1.0115692307494968,13.281572060917346,True
BPA2014,-0.09722221990426382,0.17863247990608216,7.603562250279875,1.0147145816146916,13.345252504210661,True
BPA2014,-0.06944444278875987,0.17863247990608216,7.591180186972505,1.0146808672202154,13.366575976704459,True
BPA2014,-0.04166666567325592,0.17863247990608216,7.595990917752078,1.0072737680147006,13.260597319313124,True
