case,y_over_D,z_over_D,U_mean_mps,U_std_mps,TI_percent,inside_rotor_mask
LES-informed,-0.15277777413527172,0.14957265059153238,5.7623161611604035,0.3977439608063176,6.902501523384317,True
LES-informed,-0.12499999701976776,0.14957265059153238,5.762218273872492,0.3969495676675948,6.888832543318865,True
LES-informed,-0.09722221990426382,0.14957265059153238,5.761256656590303,0.39725809870254214,6.895337638675035,True
LES-informed,-0.06944444278875987,0.14957265059153238,5.757935249063796,0.3966200337346203,6.888233656311231,True
LES-informed,-0.04166666567325592,0.14957265059153238,5.74803489403525,0.40274523141617397,7.006659473033188,True
LES-informed,-0.013888888557751973,0.14957265059153238,5.743595804366099,0.40145280952278023,6.98957279023027,True
LES-informed,0.013888888557751973,0.14957265059153238,5.731855052559558,0.4025954740570296,7.023825103135689,True
LES-informed,0.04166666567325592,0.14957265059153238,5.713871171193154,0.406843673399079,7.120280825549714,True
LES-informed,0.06944444278875987,0.14957265059153238,5.709930779195262,0.39634301159096663,6.9412927567368135,True
LES-informed,0.09722221990426382,0.14957265059153238,5.700777766252166,0.40497874259851724,7.1039208894606745,True
LES-informed,0.12499999701976776,0.14957265059153238,5.689516741881531,0.4012963248327442,7.053258528597545,True
LES-informed,0.15277777413527172,0.14957265059153238,5.68474050187603,0.3932228325131185,6.917164158739532,True
LES-informed,-0.2083333283662796,0.17863247990608216,6.0197723205729705,0.4129965921825834,6.860667981929154,True
LES-informed,-0.18055555125077566,0.17863247990608216,6.004311873668439,0.4257224668519018,7.090279049609046,True
LES-informed,-0.15277777413527172,0.17863247990608216,6.0034876568067626,0.42406822352288814,7.063697766448791,True
LES-informed,-0.12499999701976776,0.17863247990608216,5.992610973553664,0.42693778842299446,7.124403541413553,True
LES-informed,-0.09722221990426382,0.17863247990608216,5.987108513187036,0.4294393855679691,7.172734294394331,True
LES-informed,-0.06944444278875987,0.17863247990608216,5.980123906260449,0.4307981883706682,7.203833818889202,True
LES-informed,-0.04166666567325592,0.17863247990608216,5.980643976845146,0.4290430879762364,7.17386103632541,True
LES-informed,-0.013888888557751973,0.17863247990608216,5.972785461306417,0.4295465885111071,7.19172974307959,True
LES-informed,0.013888888557751973,0.17863247990608216,5.957767456643062,0.432739927275736,7.263457837603582,True
LES-informed,0.04166666567325592,0.17863247990608216,5.943976925587869,0.4354899557911605,7.32657547704208,True
LES-informed,0.06944444278875987,0.17863247990608216,5.932292702242983,0.43506060513650446,7.333768358597837,True
LES-informed,0.09722221990426382,0.17863247990608216,5.930481399711816,0.4304946777827661,7.25901741810851,True
LES-informed,0.12499999701976776,0.17863247990608216,5.916345996986729,0.4283591584491567,7.24026550623181,True
LES-informed,0.15277777413527172,0.17863247990608216,5.900088232293375,0.4265728580172574,7.2299403199170085,True
LES-informed,0.18055555125077566,0.17863247990608216,5.882407579817873,0.4267852055813403,7.255281103703359,True
LES-informed,0.2083333283662796,0.17863247990608216,5.875457374872442,0.42186077307483605,7.180049929032031,True
LES-informed,-0.2638888825972875,0.20769230922063192,6.255087714407922,0.4455369374703487,7.122792801835573,True
LES-informed,-0.23611110548178355,0.20769230922063192,6.258717527504379,0.443476332879936,7.085738107384584,True
LES-informed,-0.2083333283662796,0.20769230922063192,6.251525427485883,0.4487621209252733,7.178441903990588,True
LES-informed,-0.18055555125077566,0.20769230922063192,6.232974088170994,0.45518728948354176,7.302890771636628,True
LES-informed,-0.15277777413527172,0.20769230922063192,6.228738723757744,0.45670924423524256,7.332290925821878,True
LES-informed,-0.12499999701976776,0.20769230922063192,6.225264134584426,0.458334901390917,7.362497260873472,True
LES-informed,-0.09722221990426382,0.20769230922063192,6.215967812817028,0.4580885612422591,7.369545258868658,True
LES-informed,-0.06944444278875987,0.20769230922063192,6.203886623373662,0.45672259160485773,7.361878437367266,True
LES-informed,-0.04166666567325592,0.20769230922063192,6.200349662862497,0.4564659635381945,7.361939057602426,True
