turbine,case,count,mean,min,max,std
T17,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T17,LES,6,1.0253542498953085,0.854966695620581,1.1866078239285924,0.13144014712596444
T30,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T30,LES,6,1.0331705964880806,0.8502983126282135,1.18600410075516,0.13057490052484919
T119,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T119,LES,6,1.1721304144515354,0.9931662841550869,1.3329016290318767,0.1384695660578133
T120,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T120,LES,6,1.1105306443972247,0.9389680441606263,1.26836540719387,0.13774038055825627
T135,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T135,LES,6,1.0782383581959685,0.9278973917934731,1.2216420496601172,0.12507450838072717
T136,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T136,LES,6,1.0829539374555701,0.921619556259356,1.2461685999934662,0.12767191160575192
T225,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T225,LES,6,1.1108959974305057,0.9262821729239007,1.3217714189871752,0.13483253316827704
T238,Ieff,6,1.6425325134847455,1.400947527419963,1.839961524951161,0.1671580815307547
T238,LES,6,1.1416318125794158,0.9896353245448584,1.2805567337612618,0.12466792028379514
