turbine_id,model,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,U_PyWake_mps,TI_PyWake_percent,inside_rotor_mask
T136,BPA2014,-0.1,0.15416666666666667,6.6173,7.670000000000001,7.474879135106259,13.1736824242757,True
T136,BPA2014,0.0,0.15416666666666667,6.5871,7.720000000000001,7.439053234098634,13.1736824242757,True
T136,BPA2014,0.1,0.15416666666666667,6.5287,7.82,7.398216729840411,13.1736824242757,True
T136,BPA2014,-0.3,0.25416666666666665,7.4687,8.17,7.930071877753271,13.1736824242757,True
T136,BPA2014,-0.2,0.25416666666666665,7.4434,8.33,7.90398716696109,13.1736824242757,True
T136,BPA2014,-0.1,0.25416666666666665,7.4148,8.42,7.87131479478316,13.1736824242757,True
T136,BPA2014,0.0,0.25416666666666665,7.3731,8.44,7.832486136934785,13.1736824242757,True
T136,BPA2014,0.1,0.25416666666666665,7.2975,8.540000000000001,7.788342403851878,13.1736824242757,True
T136,BPA2014,0.2,0.25416666666666665,7.2233,8.52,7.74014034931867,13.1736824242757,True
T136,BPA2014,0.3,0.25416666666666665,7.1963,8.23,7.689522121934778,13.1736824242757,True
T136,BPA2014,-0.4,0.3541666666666667,7.8251,8.25,8.22628365809131,13.1736824242757,True
T136,BPA2014,-0.3,0.3541666666666667,7.8103,8.32,8.205354768920898,13.1736824242757,True
T136,BPA2014,-0.2,0.3541666666666667,7.7805,8.48,8.177444299171821,13.1736824242757,True
T136,BPA2014,-0.1,0.3541666666666667,7.736,8.59,8.142621246150455,13.1736824242757,True
T136,BPA2014,0.0,0.3541666666666667,7.677,8.58,8.101346007126445,13.1736824242757,True
T136,BPA2014,0.1,0.3541666666666667,7.6112,8.64,8.054509931429768,13.1736824242757,True
T136,BPA2014,0.2,0.3541666666666667,7.5505,8.61,8.003441535755158,13.1736824242757,True
T136,BPA2014,0.3,0.3541666666666667,7.5155,8.469999999999999,7.949874809945188,13.1736824242757,True
T136,BPA2014,0.4,0.3541666666666667,7.492,8.39,7.895877886461532,13.1736824242757,True
T136,BPA2014,-0.4,0.45416666666666666,8.0726,8.17,8.440872341396677,13.1736824242757,True
T136,BPA2014,-0.3,0.45416666666666666,8.0477,8.33,8.418863105603512,13.1736824242757,True
T136,BPA2014,-0.2,0.45416666666666666,8.0069,8.53,8.389631135381265,13.1736824242757,True
T136,BPA2014,-0.1,0.45416666666666666,7.9547,8.62,8.35325299243505,13.1736824242757,True
T136,BPA2014,0.0,0.45416666666666666,7.8938,8.67,8.310210088945402,13.1736824242757,True
T136,BPA2014,0.1,0.45416666666666666,7.824,8.780000000000001,8.261429965241046,13.1736824242757,True
T136,BPA2014,0.2,0.45416666666666666,7.771,8.7,8.208292881621498,13.1736824242757,True
T136,BPA2014,0.3,0.45416666666666666,7.735,8.57,8.152599016949129,13.1736824242757,True
T136,BPA2014,0.4,0.45416666666666666,7.6988,8.540000000000001,8.096494504010527,13.1736824242757,True
T136,BPA2014,-0.4,0.5541666666666667,8.2682,8.25,8.61947376165074,13.1736824242757,True
T136,BPA2014,-0.3,0.5541666666666667,8.2254,8.459999999999999,8.596853874528398,13.1736824242757,True
T136,BPA2014,-0.2,0.5541666666666667,8.1801,8.6,8.566875560710567,13.1736824242757,True
T136,BPA2014,-0.1,0.5541666666666667,8.1257,8.64,8.529619700656045,13.1736824242757,True
T136,BPA2014,0.0,0.5541666666666667,8.0606,8.63,8.485579578968906,13.1736824242757,True
T136,BPA2014,0.1,0.5541666666666667,7.9983,8.790000000000001,8.435703141229956,13.1736824242757,True
T136,BPA2014,0.2,0.5541666666666667,7.9331,8.81,8.381399802062539,13.1736824242757,True
T136,BPA2014,0.3,0.5541666666666667,7.8884,8.77,8.324507022544669,13.1736824242757,True
T136,BPA2014,0.4,0.5541666666666667,7.8666,8.66,8.267214863433122,13.1736824242757,True
T136,BPA2014,-0.4,0.6541666666666667,8.4101,8.35,8.775448651305059,13.1736824242757,True
T136,BPA2014,-0.3,0.6541666666666667,8.368,8.39,8.752722053841532,13.1736824242757,True
T136,BPA2014,-0.2,0.6541666666666667,8.3186,8.57,8.72261336151504,13.1736824242757,True
T136,BPA2014,-0.1,0.6541666666666667,8.2778,8.690000000000001,8.685204212616904,13.1736824242757,True
T136,BPA2014,0.0,0.6541666666666667,8.2252,8.690000000000001,8.640989966046014,13.1736824242757,True
T136,BPA2014,0.1,0.6541666666666667,8.1699,8.76,8.590922129533139,13.1736824242757,True
T136,BPA2014,0.2,0.6541666666666667,8.0922,8.799999999999999,8.536415205747337,13.1736824242757,True
T136,BPA2014,0.3,0.6541666666666667,8.0351,8.88,8.479313161493481,13.1736824242757,True
T136,BPA2014,0.4,0.6541666666666667,8.0147,8.84,8.42181372241927,13.1736824242757,True
T136,BPA2014,-0.4,0.7541666666666667,8.5335,8.38,8.916476351349749,13.1736824242757,True
T136,BPA2014,-0.3,0.7541666666666667,8.5152,8.41,8.89415301421985,13.1736824242757,True
T136,BPA2014,-0.2,0.7541666666666667,8.472,8.48,8.864537092656603,13.1736824242757,True
T136,BPA2014,-0.1,0.7541666666666667,8.4337,8.63,8.8277073659745,13.1736824242757,True
T136,BPA2014,0.0,0.7541666666666667,8.3837,8.83,8.784151353674948,13.1736824242757,True
T136,BPA2014,0.1,0.7541666666666667,8.3281,8.91,8.734807096422527,13.1736824242757,True
T136,BPA2014,0.2,0.7541666666666667,8.2538,9.01,8.681069858789337,13.1736824242757,True
T136,BPA2014,0.3,0.7541666666666667,8.1937,9.11,8.624759007919458,13.1736824242757,True
T136,BPA2014,0.4,0.7541666666666667,8.1406,9.13,8.568043285928457,13.1736824242757,True
